,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,Hangisi?,1.9876394271850586,1.8135807514190674,1.9692133665084839,1.960684061050415,1.9233838319778442,2.111332654953003,2.0005009174346924,1.9633769989013672,2.0718512535095215,2.0789413452148438
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",2.113555669784546,1.9590078592300415,1.8083592653274536,1.9016225337982178,1.793373465538025,1.7210012674331665,1.7047154903411865,1.7048771381378174,1.7062597274780273,1.6901698112487793
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",1.9391969442367554,1.8343602418899536,1.7437011003494263,1.7473838329315186,1.738361120223999,1.710768461227417,1.6556346416473389,1.7142943143844604,1.6803721189498901,1.6508419513702393
3,Sorun değil.,1.244035005569458,1.1916072368621826,1.0665448904037476,1.0871552228927612,0.9680812954902649,1.0765408277511597,1.080888271331787,0.996843159198761,1.031385898590088,1.0355545282363892
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,2.3710668087005615,2.0542490482330322,2.0286459922790527,1.9002515077590942,1.7880046367645264,1.8306376934051514,1.6788783073425293,1.7789989709854126,1.794389247894287,1.7683340311050415
5,Evim evim güzel evim.,2.758358955383301,2.795229196548462,2.843205690383911,2.6568830013275146,2.4579946994781494,2.4570152759552,2.0460946559906006,2.138385057449341,1.949307918548584,1.905935525894165
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",1.3179274797439575,1.2605068683624268,1.1234995126724243,1.1339412927627563,1.080698847770691,1.0235897302627563,0.9893797636032104,1.028494119644165,1.019677996635437,0.9993895888328552
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,1.8220453262329102,1.7101130485534668,1.6696728467941284,1.6544525623321533,1.6283165216445923,1.6138501167297363,1.6489499807357788,1.651784896850586,1.6279329061508179,1.6248319149017334
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",1.6370683908462524,1.694534420967102,1.6026805639266968,1.5232056379318237,1.4790624380111694,1.5101863145828247,1.4536603689193726,1.4294513463974,1.4593162536621094,1.440246343612671
9,Hiçbir yere gitmiyor.,1.437745213508606,1.1534334421157837,1.0970526933670044,1.0085978507995605,0.9501742124557495,0.8590190410614014,0.8376403450965881,0.8673866987228394,0.8066460490226746,0.8591578006744385
10,Biz neredeyiz böyle?,2.0346386432647705,1.6491119861602783,1.8118865489959717,1.659392237663269,1.7620182037353516,1.6010116338729858,1.6285232305526733,1.7273741960525513,1.664022445678711,1.6482617855072021
11,"Bir kere farkettiğinizde aynı tür şiiri yazmak işten değil, ya da aynı hikayeyi tekrar tekrar anlatmak, bu türün size alkış getireceğini farkettiğinizde.",1.686788558959961,1.5677807331085205,1.550992488861084,1.5031473636627197,1.4863139390945435,1.4238749742507935,1.397463083267212,1.4245039224624634,1.4072178602218628,1.4055235385894775
12,Kullanıcı adınızı giriniz,1.5301703214645386,1.3362711668014526,1.1446809768676758,0.9215453863143921,1.0155301094055176,0.7751439213752747,0.9120838642120361,0.8797345161437988,0.8694854974746704,0.7968319058418274
