,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,الأمر ليس كما تعتقدينه,1.1167583465576172,1.1136025190353394,1.0237274169921875,0.9193087220191956,0.856159508228302,0.830794095993042,0.8272995948791504,0.8084539771080017,0.7700271010398865,0.7306942939758301
1,أود تناسي الفروة والريش والقشور.,2.034031391143799,2.1054794788360596,2.0440592765808105,1.9574096202850342,1.9408036470413208,1.9151148796081543,1.8756407499313354,1.963720679283142,1.9283305406570435,1.935154914855957
2,وكان قوم منهم يريدون ان يمسكوه ولكن لم يلق احد عليه الايادي,1.4929447174072266,1.369814395904541,1.3375256061553955,1.3067777156829834,1.326006531715393,1.2454434633255005,1.21895170211792,1.1576818227767944,1.1786564588546753,1.1636394262313843
3,أوه، أنها على ما يرام.,1.1297706365585327,1.1755698919296265,1.0433660745620728,0.9033443331718445,0.8351916670799255,0.8405135273933411,0.7916242480278015,0.8294268846511841,0.7797151803970337,0.755566418170929
4,تحقق من الألعاب أكثر عظيمة لباد الخاص بك في iPadCasinoApp.com,1.7112723588943481,1.694370985031128,1.657580852508545,1.7137529850006104,1.5469958782196045,1.546432375907898,1.602799654006958,1.6125783920288086,1.600028157234192,1.5626484155654907
5,مرحبًا بالعودة إلى المنزل,0.9776769280433655,0.8221758008003235,0.7198863625526428,0.7376681566238403,0.7696272730827332,0.6723596453666687,0.67259281873703,0.7056488990783691,0.6962937712669373,0.6796561479568481
6,"ففي العام الماضي، نشرت ""صحيفة نيويورك تايمز"" دراسة قامت بها الحكومة.",1.370318055152893,1.3280491828918457,1.1701090335845947,1.0936496257781982,1.0364627838134766,1.047370433807373,0.9829403758049011,0.9113876223564148,0.9006659388542175,0.8959853649139404
7,ثم سكب الملاك الخامس جامه على عرش الوحش فصارت مملكته مظلمة وكانوا يعضّون على ألسنتهم من الوجع,1.816712737083435,1.777477741241455,1.6412544250488281,1.5551307201385498,1.5749988555908203,1.5224140882492065,1.5331954956054688,1.48967707157135,1.5038340091705322,1.4901494979858398
8,لذا أقترح أن أمتعة أقل في مساحة أصغر تشغل حيزًا أصغر,1.710681438446045,1.5661894083023071,1.566231608390808,1.455742597579956,1.467373013496399,1.503498911857605,1.4815195798873901,1.4234813451766968,1.454599142074585,1.432307243347168
9,إنها لن تذهب إلى أي مكان,0.9389649033546448,0.8784927725791931,0.9171403050422668,0.8129463195800781,0.7720432877540588,0.7526481747627258,0.7124673128128052,0.6538194417953491,0.640203058719635,0.6548251509666443
10,أين نحنُ بحق الجحيم؟,1.2123764753341675,0.9848547577857971,0.8909415006637573,0.8876423239707947,0.7800168395042419,0.8134921789169312,0.8794918656349182,0.8176000118255615,0.8301896452903748,0.7941029667854309
