,Sentences,Perplexities (ckpt 773),Perplexities (ckpt 1546),Perplexities (ckpt 2319),Perplexities (ckpt 3092),Perplexities (ckpt 3865),Perplexities (ckpt 4638),Perplexities (ckpt 5411),Perplexities (ckpt 6184),Perplexities (ckpt 6957),Perplexities (ckpt 7730)
0,Hangisi?,304.9217224121094,129.4737548828125,419.59979248046875,259.43048095703125,311.4576721191406,406.84600830078125,195.0055389404297,217.82235717773438,215.33445739746094,204.16709899902344
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",1595.908447265625,849.3011474609375,323.6953430175781,381.9820251464844,305.6198425292969,270.6354675292969,235.487548828125,231.17088317871094,228.5983123779297,217.66143798828125
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",973.5888061523438,671.408935546875,915.8764038085938,550.7490844726562,533.8043212890625,337.45611572265625,354.7927551269531,309.1202392578125,261.8703918457031,244.8123779296875
3,Sorun değil.,47.33943176269531,48.66135025024414,47.65060806274414,39.26654815673828,29.882835388183594,19.880325317382812,23.341270446777344,27.728477478027344,27.901641845703125,26.183015823364258
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,1867.848876953125,1081.2769775390625,564.0721435546875,720.7437133789062,716.3310546875,655.3296508789062,795.7496337890625,770.9077758789062,520.7427978515625,504.3634338378906
5,Evim evim güzel evim.,10142.1845703125,2872.750244140625,2174.8173828125,2962.927978515625,1569.9940185546875,1030.753662109375,508.0948181152344,493.60589599609375,347.3870544433594,375.9885559082031
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",831.07275390625,409.2111511230469,238.89797973632812,257.1108093261719,183.09747314453125,109.7569580078125,104.46587371826172,109.43195343017578,88.9536361694336,86.26280212402344
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,1681.8040771484375,869.1578369140625,576.8837280273438,666.6422729492188,597.2138671875,526.9818725585938,519.58642578125,570.2705078125,458.99871826171875,430.7449035644531
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",480.6266784667969,504.4300537109375,375.979248046875,419.6124267578125,311.7805480957031,379.8996276855469,332.8919372558594,330.5747375488281,304.8429260253906,321.2239990234375
9,Hiçbir yere gitmiyor.,110.38047790527344,85.01078033447266,74.69873809814453,43.81671905517578,20.947416305541992,25.84786605834961,29.720905303955078,24.90594482421875,25.016756057739258,21.43602180480957
10,Biz neredeyiz böyle?,1562.83251953125,702.9946899414062,908.2499389648438,859.0986328125,461.7473449707031,429.9189453125,326.2779846191406,307.8741455078125,277.7076110839844,330.13665771484375
11,"Bir kere farkettiğinizde aynı tür şiiri yazmak işten değil, ya da aynı hikayeyi tekrar tekrar anlatmak, bu türün size alkış getireceğini farkettiğinizde.",1425.3160400390625,835.5958862304688,569.7877807617188,574.016845703125,527.8754272460938,439.8781433105469,456.301025390625,438.70660400390625,399.890380859375,379.5733337402344
12,Kullanıcı adınızı giriniz,11733.93359375,15387.2353515625,708.1871337890625,466.56494140625,621.672607421875,179.85398864746094,204.16358947753906,149.56832885742188,96.87268829345703,105.56617736816406
13,"Hepimizin vücudu var, değil mi? Bir toplantı mı kaçırdım?",332.8322448730469,256.4124450683594,162.56056213378906,151.89370727539062,138.2613067626953,106.54487609863281,126.0671157836914,114.22685241699219,114.43821716308594,109.15621185302734
14,Giriş Kayıt ol,1485.9189453125,382.1038818359375,690.4019165039062,428.7823181152344,352.3106689453125,431.60760498046875,726.9967651367188,466.78009033203125,401.7647705078125,480.2168273925781
15,Bunu nereden biliyorsunuz?,188.25811767578125,67.6300048828125,48.536197662353516,32.04273986816406,19.0795841217041,32.13434600830078,28.03165626525879,29.554956436157227,23.38458824157715,22.400087356567383
16,"Hani bir görüşmede sanki karşınızdakine kafa tutarmış gibi olursunuz ya, oturup, karşınızdakinin yüzüne bakıp, başka yöne dönmesini beklersiniz, sonra da hemen cihazınızı kontrol edersiniz.",2241.78076171875,1216.680908203125,681.4873657226562,629.3733520507812,507.5925598144531,523.0459594726562,435.3531494140625,347.5185852050781,352.2082214355469,346.06622314453125
17,Emin misin?,29.466930389404297,35.997779846191406,42.50187683105469,36.51213073730469,27.98513412475586,28.02482795715332,31.064645767211914,24.616403579711914,23.50495719909668,24.255449295043945
