,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10)
0,Hangisi?,3.0597305297851562,3.608736753463745,4.466147422790527,3.832578420639038,4.177847385406494,3.94445538520813,4.011343479156494,3.968428373336792,4.008906364440918,4.075345039367676
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",4.961136341094971,4.113792896270752,3.896214246749878,3.386497735977173,3.744518995285034,3.4585275650024414,3.5009896755218506,3.426677942276001,3.4322311878204346,3.4704182147979736
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",4.019441604614258,4.066381931304932,3.6257596015930176,3.4587864875793457,3.3111326694488525,3.1671831607818604,3.1703171730041504,2.9579215049743652,2.881032943725586,2.903538465499878
3,Sorun değil.,2.683495283126831,2.192656993865967,2.58952260017395,2.3402609825134277,2.3039519786834717,2.30057430267334,2.146578788757324,2.1910297870635986,2.231698513031006,2.1775078773498535
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,5.164060592651367,4.649709224700928,4.229262351989746,3.835853099822998,4.028407096862793,3.9779953956604004,3.682932138442993,3.5573666095733643,3.4840970039367676,3.470174551010132
5,Evim evim güzel evim.,6.910645008087158,8.284695625305176,6.523438453674316,5.633115768432617,5.794991493225098,5.283306121826172,4.765244007110596,4.475081920623779,4.640597820281982,4.4409308433532715
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",3.239013671875,2.877736806869507,2.69905161857605,2.639674425125122,2.352445125579834,2.3524363040924072,2.310631036758423,2.2947490215301514,2.1776485443115234,2.1403040885925293
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,4.847640037536621,4.403407573699951,4.0240478515625,4.047659397125244,3.8359270095825195,3.6521453857421875,3.6979105472564697,3.6071832180023193,3.5582635402679443,3.6056878566741943
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",3.315582036972046,3.2837233543395996,3.1995444297790527,3.280423641204834,3.2017619609832764,3.2356204986572266,3.0458455085754395,3.110969066619873,3.1160547733306885,3.123250722885132
9,Hiçbir yere gitmiyor.,2.000324249267578,2.401885747909546,2.338643789291382,1.8603039979934692,1.928243637084961,1.9303501844406128,1.8480342626571655,1.8261555433273315,1.7860918045043945,1.815416932106018
10,Biz neredeyiz böyle?,5.0276198387146,4.340559482574463,3.8349578380584717,3.3696937561035156,3.430002212524414,3.1464948654174805,2.9665565490722656,3.0073137283325195,3.0117108821868896,3.0577704906463623
11,"Bir kere farkettiğinizde aynı tür şiiri yazmak işten değil, ya da aynı hikayeyi tekrar tekrar anlatmak, bu türün size alkış getireceğini farkettiğinizde.",3.610802173614502,3.537095785140991,3.236006021499634,3.3807363510131836,3.2321345806121826,3.2148728370666504,3.21553897857666,3.1558024883270264,3.079824686050415,3.054520606994629
12,Kullanıcı adınızı giriniz,4.580899238586426,3.8450980186462402,3.123694896697998,2.5690364837646484,2.716078281402588,2.28918194770813,2.126817226409912,2.165731191635132,2.017637014389038,2.028388261795044
13,"Hepimizin vücudu var, değil mi? Bir toplantı mı kaçırdım?",3.0147664546966553,3.0822339057922363,2.76550555229187,2.7099063396453857,2.835150957107544,2.6763498783111572,2.5395257472991943,2.579829454421997,2.591517686843872,2.5950894355773926
14,Giriş Kayıt ol,4.781650066375732,3.8457140922546387,3.9888765811920166,3.8747479915618896,4.0300493240356445,3.3853509426116943,3.802668571472168,3.5434815883636475,3.3562183380126953,3.340489149093628
15,Bunu nereden biliyorsunuz?,2.302194595336914,1.7982771396636963,1.868944525718689,1.6283047199249268,1.6690493822097778,1.723488211631775,1.730507254600525,1.7214868068695068,1.6853638887405396,1.6456762552261353
16,"Hani bir görüşmede sanki karşınızdakine kafa tutarmış gibi olursunuz ya, oturup, karşınızdakinin yüzüne bakıp, başka yöne dönmesini beklersiniz, sonra da hemen cihazınızı kontrol edersiniz.",4.237430095672607,3.8795783519744873,3.6211297512054443,3.1893773078918457,3.2467799186706543,3.1414833068847656,3.016913890838623,3.048013210296631,2.8911898136138916,2.8476929664611816
17,Emin misin?,2.5410053730010986,2.5812556743621826,2.621159315109253,2.461573362350464,2.3568618297576904,2.6043689250946045,2.5359995365142822,2.442017078399658,2.4634909629821777,2.4511332511901855
18,"İsa onlara, ‹‹Karısını boşayıp başkasıyla evlenen, karısına karşı zina etmiş olur›› dedi.",5.1112494468688965,4.5766472816467285,3.96049427986145,4.072180271148682,3.686316967010498,3.9450013637542725,3.6735684871673584,3.5874686241149902,3.5642356872558594,3.4325220584869385
19,Son birkaç yılımı insan motivasyonu bilimini incelemeye ayırdım. Özellikle de dışsal ve içsel motive edicileri incelemeye.,4.321545600891113,3.894118547439575,3.6397738456726074,3.4573609828948975,3.478832244873047,3.244847059249878,3.196539878845215,3.1627161502838135,3.160085678100586,3.1213057041168213
20,"Birkaç hafta önce, Ben evangelize her müminin sorumluluk Kampüs Outreach Ulusal Konferansında konuştu. Benim metin oldu 2 Corinthians 5:18-21. İşte o oturumdaki bir video.",6.110902786254883,6.05271577835083,6.030599117279053,5.803393840789795,5.155053615570068,4.8829874992370605,5.040433883666992,4.765955448150635,4.575578689575195,4.511361122131348
21,Neden koruyacakmışım?,3.342825412750244,2.948545217514038,3.269153118133545,2.9995806217193604,2.91119384765625,2.8911569118499756,2.9512484073638916,3.031078577041626,2.977224826812744,3.000430107116699
22,"Eğer bunu kabul etmek isterseniz, gelecek olan İlyas odur.",3.1444671154022217,2.7772159576416016,2.7834556102752686,2.806492328643799,2.717869520187378,3.018540859222412,2.732515811920166,2.730376720428467,2.6897830963134766,2.768552303314209
23,Bu ne demek?,3.212315797805786,3.010211229324341,3.3464574813842773,3.155994176864624,2.933326244354248,2.8927252292633057,2.9528799057006836,2.910017728805542,2.7807393074035645,2.7339839935302734
24,Ne diyorsun?,2.350543737411499,2.240107774734497,2.2791543006896973,2.2295236587524414,2.2463693618774414,2.2731618881225586,2.4189586639404297,2.4252147674560547,2.194952964782715,2.247015953063965
25,Bırak onları.,3.510113477706909,4.724754333496094,3.8633244037628174,2.8190717697143555,2.7620983123779297,2.613118886947632,2.5943896770477295,2.5545995235443115,2.516014337539673,2.592317581176758
26,"Bir kaç yıl önce, laboratuvarımda kendi deneylerimi yapıyordum.",3.658294677734375,3.6429853439331055,3.1994588375091553,2.938120126724243,2.5977280139923096,2.380669116973877,2.387640953063965,2.352893590927124,2.263249397277832,2.181687355041504
27,"Dünyayı daha iyi bir yer haline nasıl getirebileceğimizi düşünürken eğitimi düşünürüz, ona oldukça fazla para harcariz.",3.2043168544769287,3.004955291748047,2.7507035732269287,2.737065553665161,2.559828758239746,2.6244423389434814,2.6402792930603027,2.5784871578216553,2.4781904220581055,2.5019876956939697
28,Bizi takip edin,3.1434731483459473,2.9926321506500244,2.358240842819214,2.6210711002349854,2.3034188747406006,2.121314764022827,2.211575746536255,2.279258966445923,2.147340774536133,2.0793941020965576
29,5 Avrupa'da En İyi Alışveriş Outlets,7.355810642242432,6.882828712463379,5.861763000488281,5.501035690307617,4.62493896484375,4.456315994262695,4.278408050537109,4.145272254943848,3.837372303009033,3.605241298675537
30,Calverton Poligonu'na vardığımızda FBI'nın bizim grubu izlediğini bilmiyorduk.,4.875537872314453,4.775624752044678,4.5412068367004395,4.443638324737549,4.012917518615723,3.855229616165161,3.765981912612915,3.810753345489502,3.8005428314208984,3.8080523014068604
31,"Ona ihanet edecek olan Yahuda, ‹‹Rabbî, yoksa beni mi demek istedin?›› diye sordu. İsa ona, ‹‹Söylediğin gibidir›› karşılığını verdi.",4.327676773071289,3.8199427127838135,3.2860591411590576,3.3005292415618896,3.211017370223999,3.3113279342651367,3.0960474014282227,3.152585029602051,3.0112154483795166,3.0388262271881104
32,Kimse on yaşındayken icra takibi ve şirket alımları için avukat olmayı düşlemez.,5.467574119567871,5.025524616241455,4.603630065917969,4.752725601196289,4.74236536026001,4.674403667449951,4.568339824676514,4.268898963928223,4.335934638977051,4.295074462890625
33,"Kötü ruhlar İsaya, ‹‹Bizi şu domuzlara gönder, onlara girelim›› diye yalvardılar.",5.167614936828613,5.003505229949951,4.291527271270752,4.263777732849121,4.195566177368164,3.9541234970092773,3.863985300064087,3.5811688899993896,3.5691328048706055,3.5760414600372314
34,"Ama vay halinize, ey zenginler, Çünkü tesellinizi almış bulunuyorsunuz!",5.231484889984131,4.712433338165283,4.650920867919922,4.4039435386657715,4.243246555328369,4.261083602905273,3.986907958984375,3.807670831680298,4.009345054626465,3.8429627418518066
35,"Her şeyi yiyen, yemeyeni hor görmesin. Her şeyi yemeyen, yiyeni yargılamasın. Çünkü Tanrı onu kabul etmiştir.",4.667068004608154,4.484206199645996,3.582540512084961,3.883957624435425,3.6511118412017822,3.419746160507202,3.524524688720703,3.390076160430908,3.4652416706085205,3.435929536819458
36,"Bilmiyorum, efendim.",2.3162591457366943,2.200681209564209,2.082266330718994,2.093536615371704,2.014953851699829,1.9331029653549194,2.120861530303955,2.028001070022583,1.9246227741241455,1.9028352499008179
37,"Onlar, Mesihin acı çekeceğini ve ölümden dirilenlerin ilki olarak gerek kendi halkına, gerek öteki uluslara ışığın doğuşunu ilan edeceğini bildirmişlerdi.››",4.926784992218018,4.332104682922363,4.068626403808594,4.075309753417969,3.9488940238952637,3.819633960723877,3.81123685836792,3.896510362625122,3.8698530197143555,3.902515411376953
38,"Bunu çözmek için sizinle paylaşacağım üç öneri var. Yaklaşık üç dakikam var,yani tam olacak.",3.89968204498291,3.356121063232422,3.330026149749756,3.090801954269409,2.870586395263672,2.9316246509552,2.868657350540161,2.874689817428589,2.8187572956085205,2.777648448944092
39,İlk _ Önceki _ 1 2 3 ... 10 _ Sonraki _ Son,6.639754295349121,5.517049312591553,5.105438709259033,4.865612030029297,4.042149543762207,3.5499749183654785,2.4992451667785645,2.102264165878296,2.066230058670044,2.032461643218994
40,Ben bir günahkarım.,6.085783004760742,5.48630428314209,5.504746437072754,4.9274983406066895,4.816451072692871,4.380684852600098,4.6916913986206055,4.717672824859619,4.441048622131348,4.224575519561768
41,"Kutsal Yasayla övünürken, Yasaya karşı gelerek Tanrıyı aşağılar mısın?",5.435613632202148,4.247684955596924,3.8439810276031494,3.4263181686401367,3.660015106201172,3.566850423812866,3.274000406265259,3.5209429264068604,3.4754798412323,3.336764335632324
42,"Tapınağın dış avlusunu bırak, orayı ölçme. Çünkü orası, kutsal kenti kırk iki ay ayaklarıyla çiğneyecek olan uluslara verildi.",4.924813747406006,3.9419190883636475,3.9716312885284424,4.015535831451416,3.946173667907715,3.914245843887329,3.847644567489624,3.7334487438201904,3.7721924781799316,3.701481819152832
43,Hayat devam ediyor.,3.0600860118865967,2.8945648670196533,2.4683895111083984,2.5796003341674805,2.4794845581054688,2.3312907218933105,2.1729817390441895,2.2063100337982178,2.192863702774048,2.2285687923431396
44,- Buradan gitmek ister misin?,2.6184186935424805,2.349726676940918,1.942030429840088,1.978633999824524,1.8545279502868652,1.7590596675872803,1.823325276374817,1.7621879577636719,1.7339202165603638,1.750281810760498
