,Sentences,Epoch: 1 (ckpt: 1054),Epoch: 2 (ckpt: 2108),Epoch: 3 (ckpt: 3162),Epoch: 4 (ckpt: 4216),Epoch: 5 (ckpt: 5270),Epoch: 6 (ckpt: 6324)
0,"Es ist nicht, was du denkst.",82.80944061279297,70.53618621826172,47.100494384765625,53.10433578491211,43.672481536865234,33.854713439941406
1,"Ich lasse gern den Pelz, das Gefieder, und die Schuppen hinter mir.",279.61798095703125,322.9433288574219,243.73483276367188,207.3079071044922,192.7098388671875,189.8780975341797
2,Es wollten aber etliche ihn greifen; aber niemand legte die Hand an ihn.,480.92425537109375,388.5253601074219,284.9058532714844,250.47288513183594,175.89984130859375,188.89024353027344
3,Ist okay.,4467.818359375,8817.5751953125,6754.70166015625,2354.90576171875,6859.17578125,3448.368896484375
4,Schauen Sie sich weitere große Spiele für Ihr iPad an iPadCasinoApp.com,494.58575439453125,278.7384338378906,225.26463317871094,131.85430908203125,126.46907043457031,103.96124267578125
5,Trautes Heim...,857.8795166015625,651.2593994140625,1094.4478759765625,1530.275146484375,761.7589721679688,2044.3861083984375
6,"Letztes Jahr hat die New York Times eine Studie veröffentlicht, die die Regierung durchgeführt hat.",254.08822631835938,117.49256896972656,118.17845153808594,59.90043258666992,43.95010757446289,43.82942199707031
7,"Und der fünfte Engel goß aus seine Schale auf den Stuhl des Tiers; und sein Reich ward verfinstert, und sie zerbissen ihre Zungen vor Schmerzen",507.2707824707031,322.8464660644531,202.66830444335938,157.16824340820312,106.78341674804688,102.19741821289062
8,"Deshalb schlage ich Ihnen vor, dass weniger Zeug und weniger Platz zu einem kleineren Fussabdruck führen werden.",677.2162475585938,397.5645751953125,229.27085876464844,159.6492156982422,154.66525268554688,174.76132202148438
9,Die bleibt schön hier.,862.202392578125,1083.5081787109375,925.16650390625,677.1477661132812,558.0252075195312,746.2138061523438
10,- Wo zum Teufel sind wir?,503.75848388671875,191.56031799316406,82.14181518554688,78.90572357177734,69.1912612915039,63.08824920654297
11,"Es ist verführerisch – wenn man das einmal erkannt hat – es ist verführerisch immer das gleiche Gedicht zu schreiben, oder immer die gleiche Geschichte zu erzählen, immer und immer wieder, wenn man einmal erkannt hat, dass es einem Applaus bringt.",243.1649627685547,146.6915740966797,88.13972473144531,78.55609130859375,53.224891662597656,55.44591522216797
12,Benutzername einfügen,9133.54296875,6311.1875,2148.286376953125,1706.5250244140625,1483.2777099609375,1443.3238525390625
13,"Wir alle haben Körper, oder?",361.3309631347656,409.2835388183594,370.0353698730469,210.11026000976562,236.34632873535156,185.21690368652344
14,IHR ADDEFEND STATUS ZUR DATENERFASSUNG:,3142.552490234375,1668.541015625,1542.21337890625,1282.9398193359375,1321.0108642578125,878.4778442382812
15,Woher wissen Sie das?,747.2147216796875,383.3403015136719,203.87640380859375,203.75364685058594,235.03433227539062,173.10325622558594
16,"Wenn wenn Sie jemals in einem Meeting waren wo Sie irgendwie ""Meeting Schlappschwanz"" gespielt haben, Sie sitzen da, gucken die Person an und warten, dass sie wegguckt und dann plötzlich das Gerät checkt.",369.6336364746094,245.14016723632812,131.80673217773438,127.23690795898438,107.09666442871094,83.39769744873047
17,Sind Sie sicher?,1152.3402099609375,935.4000854492188,1604.14599609375,641.7777099609375,460.9318542480469,266.5758972167969
18,"Und er sprach zu ihnen: Wer sich scheidet von seinem Weibe und freit eine andere, der bricht die Ehe an ihr;",266.22125244140625,148.30145263671875,111.83130645751953,88.056884765625,94.38114929199219,107.48081970214844
19,"Ich habe die letzten Jahre damit verbracht, die Wissenschaft menschlicher Motivation zu untersuchen. Insbesondere das Kräftespiel von extrinsischen Motivatoren und intrinsischen Motivatoren.",152.09185791015625,146.4293670654297,97.09341430664062,69.0636978149414,52.53943634033203,50.316184997558594
20,"Vor ein paar Wochen, Ich sprach auf dem Campus Outreach National Conference über jede Verantwortung des Gläubigen zu evangelisieren. Mein Text war 2 Corinthians 5:18-21. Hier ist das Video von dieser Sitzung.",309.45440673828125,234.23672485351562,188.5010986328125,139.39559936523438,115.72933197021484,119.0970458984375
21,- Warum sollte ich?,1150.1064453125,416.01971435546875,147.55172729492188,241.81594848632812,265.05615234375,162.671142578125
22,"Und (so ihr's wollt annehmen) er ist Elia, der da soll zukünftig sein.",378.0149230957031,290.17327880859375,230.92750549316406,150.0837860107422,171.82774353027344,127.50688171386719
23,Das bedeutet?,1083.88330078125,2965.329345703125,2044.9476318359375,3436.72705078125,2333.74267578125,2535.544921875
24,Was erzählen Sie mir da?,397.37200927734375,251.58958435058594,103.5897216796875,89.71601867675781,86.38455963134766,79.296630859375
25,Lasst sie in Ruhe!,421.00653076171875,157.82415771484375,310.11102294921875,214.4475860595703,92.69482421875,236.33572387695312
26,Vor ein paar Jahren führte ich einige meiner Experimente im Labor durch.,298.2705383300781,276.2066955566406,86.60652923583984,60.807762145996094,48.71503829956055,45.564029693603516
27,"Wenn wir daran denken, wie man die Welt verbessern könnte, denken wir an den Bildungsweg, dorthin stecken wir viel Geld.",246.3209228515625,151.86705017089844,81.15945434570312,59.1140251159668,60.06899642944336,52.47051239013672
28,Sitzung,663.1209106445312,1086.6654052734375,1737.91943359375,1200.3433837890625,877.52490234375,897.670654296875
29,5 Das beste Shopping Outlets in Europa,894.2268676757812,570.547119140625,354.75726318359375,236.4124755859375,212.7657470703125,267.46820068359375
30,"Wir kamen an der Calverton-Schießanlage an, die ohne unser Wissen vom FBI beobachtet wurde.",398.18475341796875,315.8934631347656,202.47994995117188,156.31932067871094,113.07627868652344,116.47388458251953
31,"Da antwortete Judas, der ihn verriet, und sprach: Bin ich's Rabbi? Er sprach zu ihm: Du sagst es.",215.5643768310547,90.80242919921875,62.51312255859375,42.82218933105469,50.08317947387695,57.53757858276367
32,Kein zehn Jahre alter studiert Jura um Fusionen und Übernahmen zu machen.,381.2328796386719,404.0020751953125,248.16346740722656,221.60733032226562,275.4413757324219,184.66177368164062
