,Sentences,Epoch: 1 (ckpt: 1),Epoch: 2 (ckpt: 2),Epoch: 3 (ckpt: 3),Epoch: 4 (ckpt: 4),Epoch: 5 (ckpt: 5),Epoch: 6 (ckpt: 6),Epoch: 7 (ckpt: 7),Epoch: 8 (ckpt: 8),Epoch: 9 (ckpt: 9),Epoch: 10 (ckpt: 10),Epoch: 11 (ckpt: 11)
0,Hangisi?,3.384401798248291,2.0320451259613037,1.8081402778625488,2.012798309326172,1.9620720148086548,1.9679558277130127,1.8563628196716309,2.0435433387756348,1.9141837358474731,2.0615956783294678,1.9190717935562134
1,"Kürkü, tüyleri ve pulları geride bırakmayı severim.",2.055659770965576,1.8641245365142822,1.7897300720214844,1.784854531288147,1.7339187860488892,1.7361042499542236,1.6829066276550293,1.6678546667099,1.5653787851333618,1.5710265636444092,1.5304882526397705
2,"Bazıları Onu yakalamak istedilerse de, kimse Ona el sürmedi.",1.9520657062530518,1.9142727851867676,1.7356348037719727,1.7524925470352173,1.6191693544387817,1.681735634803772,1.5157171487808228,1.389054775238037,1.443153738975525,1.4256014823913574,1.3886452913284302
3,Sorun değil.,1.3276922702789307,1.1460070610046387,1.1981052160263062,1.0385239124298096,1.0849801301956177,1.1786953210830688,1.1295084953308105,1.0892361402511597,1.159907341003418,1.0821638107299805,1.034606695175171
4,adresinden iPad için daha büyük bir Oyunlar göz atın iPadCasinoApp.com,2.2933597564697266,2.077622652053833,2.0751404762268066,1.785891056060791,1.9485387802124023,1.950771689414978,1.750779390335083,1.5910478830337524,1.7043375968933105,1.7144219875335693,1.8021715879440308
5,Evim evim güzel evim.,3.1965386867523193,2.8719725608825684,2.4583022594451904,2.5704684257507324,2.4694855213165283,2.540435791015625,2.4998550415039062,2.5054922103881836,2.549241304397583,2.3472094535827637,2.377546548843384
6,"Geçen sene, New York Times hükümetin yaptığı bir araştırmayı yayınladı,",1.6518514156341553,1.4408042430877686,1.4209856986999512,1.2754262685775757,1.2183078527450562,1.2276971340179443,1.0992438793182373,1.0928101539611816,1.0594502687454224,1.045137882232666,1.0388262271881104
7,Beşinci melek tasını canavarın tahtına boşalttı. Canavarın egemenliği karanlığa gömüldü. İnsanlar ıstıraptan dillerini ısırdılar.,1.9634331464767456,1.855707049369812,1.763413906097412,1.6377193927764893,1.6591010093688965,1.5822511911392212,1.4724235534667969,1.5417646169662476,1.5575613975524902,1.5153093338012695,1.4840505123138428
8,"Öyleyse, daha az eşyanın ve daha az alanın daha az ayak izi demek olacağını söyleyebiliriz.",1.6646403074264526,1.5997848510742188,1.6565451622009277,1.5892105102539062,1.6042661666870117,1.554686188697815,1.4839441776275635,1.491585612297058,1.4101715087890625,1.3628376722335815,1.3465980291366577
9,Hiçbir yere gitmiyor.,1.4217661619186401,1.0910383462905884,1.066663146018982,0.9635975360870361,1.0054022073745728,0.904499888420105,0.9774195551872253,1.0099412202835083,0.9420782327651978,0.958774983882904,0.9419344067573547
